SERFF Tr Num,Filing Type,Date Submitted,Effective Date Requested (New),Effective Date Requested (Renewal),SERFF Status,Filing Description,Filing Method,TOI,Group_Code,Company_Codes,week_date,gpt_3_5_summary,o1_mini_summary,xai_summary
LBPM-134402349,Rate,02/11/2025,03/06/2025,04/15/2025,Closed-Filed,"This revision impacts New Business and Renewal business policies on or after March 6th, 2025, and April 15th, 2025.
We are proposing the following revisions to our American Economy Insurance Company Program:
Homeowners:
Home Rating Manual: Multi-Policy Discount
Home Tiering Manual: Peril Offset
This filing contains materials that are designated as “Privileged and Confidential: Trade Secret Material”. We ask that those
documents be exempt from public disclosure and remain confidential.
We appreciate your review of this filing and look forward to your timely approval.  Please feel free to contact us with any
questions or concerns.",,04.0 Homeowners,111,[19690],2025-02-24,"The rate filing pertains to American Economy Insurance Company's Homeowners product in Arkansas. The filing was submitted on 02/11/2025 and had a Filing Type of Rate. The effective dates requested were 03/06/2025 for new business and 04/15/2025 for renewal business. The disposition date was 02/18/2025, with a disposition status of Filed. The overall rate impact indicated a decrease of -1.100%. The filing involved revisions to the Home Rating Manual related to a Multi-Policy Discount and the Home Tiering Manual related to Peril Offset. The filing included several supporting documents designated as ""Privileged and Confidential: Trade Secret Material"" and requested exemption from public disclosure. The total filing fee was $100.00. The response to an objection letter requested additional details/explanation and support for the changes, with the response indicating no changes to form schedules. The Rate Change Type was a Decrease, with an overall percentage of last rate revision at 29.900% on 11/26/2024. The rate filing involved changes to the Multi-Policy Discount and supporting document schedules were all filed. The rate changes were based on actuarial support indicating an increase in the discount for multi-policy by 2%.",,
LBPM-134415366,Form,02/12/2025,05/19/2025,06/23/2025,Closed-Approved,"In accordance with Arkansas filing provision, we respectfully submit the following revisions for our Homeowners program.
The information below provides a list of forms submitted with this filing.  In addition, it also provides a summary of the major
coverage or policies differences from our currently approved homeowner policy.
Our company would like to have the option of reformatting text or moving boxes, where applicable, to accommodate marketing
requirements and printing of forms. The format of the forms may vary depending on the needs of our clients (e.g. paper size,
electronic distribution, etc.). The language will remain the same as approved by your Division and any font requirements will be
maintained.
We appreciate your review of this filing. Should you have any questions or concerns, please do not hesitate to contact me
directly.
This form will be used for renewal business only as we no longer write new business in these companies.
The following provides a summary for each form submitted with this filing.
•New Form: FMHO 2023 01 25/Replaced Form: FMHO 2023
•New Form: FMHO 547 01 25/Replaced Form: FMHO 547 05 91
•New Form: FMHO 2030 01 25/Replaced Form: FMHO 2030
oPlease note that the previous version of FMHO 2030 predates SERFF, and the filing in question is outside of our internal
record retention policy.
•New Form: FMHO 1182AR 01 25/Replaced Form: FMHO 1182AR 05 17
oAdditions: Matching of siding, “roof surfacing” or windows excluded
oModifications: We also took this opportunity to update the old forms to follow our standards of placing defined terms in
quotation marks and bolding section titles.",,04.0 Homeowners,111,"[42404, 23035, 33600]",2025-02-24,"In the rate filing submitted by Liberty Insurance Corporation, Liberty Mutual Fire Insurance Company, and LM Insurance Corporation for their Homeowners product in Arkansas, the rate impact was indicated as 0.000%. This means that there was no proposed change to the insurance rates for this filing. The overall effect on written premium was $0 with no policyholders affected by the rate filing. The status of the filing was approved, with an effective date requested for both new business (05/19/2025) and renewals (06/23/2025). The SERFF tracking number for this filing was LBPM-134415366, and the disposition date was 02/20/2025.",,
SFMA-134403457,Rule,02/07/2025,03/15/2025,05/15/2025,Closed-Filed,"We are filing revised rates to our independent Arkansas Homeowners Program, which results in a rate level change of 0.0%
for that program in the State Farm Fire and Casualty Company.  The details of and support for the change are outlined in the
attached Filing Memorandum and supporting exhibits.
The rate level changes contained in this filing specifically consider the expected effect that any prior changes in policy
language will have on our future underwriting experience.   The changes detailed in this filing reflect our best efforts to
recognize our actuarially suggested income needs and have premiums that are as competitive as possible.
We do not rely solely on rate activity to achieve our objective of continued financial solidity.  We also concentrate on continued
improvements in the way we service the business we write.  These improvements range from internal expense controls to
ongoing enhancements in the loss settlement process.  We also invest and participate in many loss prevention and control
activities.  Attached is an exhibit that outlines some of these activities.
Form H-1 has not been attached because no changes have been made.
We see no positive or negative impact of our rates on the affected fire departments.
We submit this filing to be effective March 15, 2025 for new business and May 15, 2025 for renewals.
Sincerely,
Erin G Winters,   F.C.A.S, CPCU, MAAA, CLU
309-735-1553
erin.g.winters.sfms@statefarm.com
Dan Kuntz,   F.C.A.S, CPCU, MAAA
309-766-0045
dan.kuntz.uzni@statefarm.com",,04.0 Homeowners,176,[25143],2025-02-24,"Based on the information provided in the filing, the insurance company, State Farm Fire and Casualty Company, submitted a rate filing for their independent Arkansas Homeowners Program. The filing outlined revised rates resulting in a 0.0% rate level change for that program. The effective dates requested for the rate changes are March 15, 2025, for new business, and May 15, 2025, for renewals.

The rate changes were made to recognize actuarially suggested income needs while ensuring competitive premiums. The company emphasized that aside from rate adjustments, they focus on improving service, expense controls, loss settlement processes, and investing in loss prevention activities.

Key elements of the rate filing include the introduction of Wind/Hail Deductibles options of 1%, 2%, 3%, 4%, and 5%, with customers required to carry a minimum 1% deductible. Additionally, adjustments were made to basic premiums, with a coverage effect combined with premium effect to achieve the overall 0.0% change for the Non-Tenant Homeowners policy form.

Furthermore, the response to an objection letter received during the filing process was addressed by explaining how Wind/Hail deductible factors apply to previously filed manual pages and providing a detailed rating example.

In summary, the rate filing focused on maintaining financial solidity, addressing policy language changes, and introducing variable deductible options to offer customers flexibility while ensuring adequate coverage.",,
ALSE-134423427,Rule,02/19/2025,03/10/2025,04/24/2025,Closed-Acknowledged,"With this filing, Allstate is proposing changes to the Installment Fee and Late Payment Fee for the Allstate Insurance Company
(AIC) Condominium (CON) and Homeowners – Owner Occupied Homeowners (HO) programs in the state of Arizona.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to new business written on or after 03/10/2025, and for renewals effective on or after 04/24/2025.
This filing company is closed to new business. Allstate has, however, supplied a new business effective date for special
business cases. For example, to accommodate a new business policy in the same company to a policyholder that has been
reinstated, or if a cancel/re-write is necessary.",,04.0 Homeowners,8,[19232],2025-02-24,"Based on the information provided in the filing, Allstate Insurance Company submitted a rate and rule filing in Arizona for their AIC CON/HO (Condominium and Homeowners - Owner Occupied) product. The filing aimed to increase the installment fees and late payment fees for their insurance programs in the state of Arizona. 

Specifically, the changes proposed by Allstate Insurance Company included:
- Increasing the Installment Fee for the Allstate Easy Pay Plan from $1.50 to $2.00
- Increasing the Installment Fee for all other payment methods (excluding Allstate Payroll Deductions) from $4.00 to $5.00
- Maintaining an Installment Fee waiver for Allstate Payroll Deductions
- Increasing the Late Payment Fee from $10.00 to $15.00

The filing company is closed to new business but has proposed effective dates for the changes. The new business written on or after 03/10/2025, and for renewals effective on or after 04/24/2025, will be subject to the revised installment and late payment fees.

The filing included various attachments such as supporting documents, rate/rule checklists, and memos to justify the proposed changes. The company sought approval for these changes from the Department of Insurance in Arizona.

Overall, the filing aimed to adjust certain fees related to installment and late payments for their condo and homeowners insurance programs in Arizona.",,
ALSE-134423455,Rule,02/19/2025,03/10/2025,04/24/2025,Closed-Acknowledged,"With this filing, Allstate is proposing changes to the Installment Fee and Late Payment Fee for the Allstate Indemnity Company
(AI) Condominium (CON) and Homeowners – Owner Occupied Homeowners (HO) programs in the state of Arizona.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to new business written on or after 03/10/2025, and for renewals effective on or after 04/24/2025.
This filing company is closed to new business. Allstate has, however, supplied a new business effective date for special
business cases. For example, to accommodate a new business policy in the same company to a policyholder that has been
reinstated, or if a cancel/re-write is necessary.",,04.0 Homeowners,8,[19240],2025-02-24,"Based on the filing information provided by Allstate Indemnity Company for their AI HO/CON Homeowners program in Arizona, the company is proposing changes to the Installment Fees and Late Payment Fee. The changes include increasing the Installment Fee for the Allstate Easy Pay Plan, increasing the Installment Fee for other payment methods, and increasing the Late Payment Fee.

The proposed changes will apply to new business written on or after 03/10/2025 and for renewals effective on or after 04/24/2025. Allstate has indicated that these changes are necessary for special business cases such as reinstatements or cancel/re-write situations.

The filing includes detailed explanations, supporting documents, and the company contact information. The filing has been acknowledged and the effective date requested for the changes is noted. The filing company is closed to new business but has provided effective dates for special circumstances. The DOI information, tracking numbers, and relevant project details are included in the filing.

Overall, the filing seeks to adjust the installment and late payment fees for the AI HO/CON Homeowners program in Arizona, with the changes scheduled to take effect in March and April of 2025.",,
ALSE-134423481,Rule,02/19/2025,03/10/2025,04/24/2025,Closed-Acknowledged,"With this filing, Allstate is proposing a change to the Installment and Late Payment Fees for the Allstate Vehicle and Property
Insurance Company (AVPIC) Condominium (CON) program in the state of Arizona.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to new business written on or after 03/10/2025, and for renewals effective on or after 04/24/2025.",,04.0 Homeowners,8,[37907],2025-02-24,"Based on the filing provided, here is a summary of the key details:

1. **Insurance Company**: Allstate Vehicle and Property Insurance Company
2. **State**: Arizona
3. **Type of Insurance**: Condominium Homeowners
4. **Filing Type**: Rule
5. **Proposed Changes**: Increase in Installment Fees and Late Payment Fee
6. **Installment Fee Changes**:
   - Increase in Installment Fee for the Allstate Easy Pay Plan from $1.50 to $2.00
   - Increase in Installment Fee for all other payment methods (except Allstate Payroll Deductions) from $4.00 to $5.00
7. **Late Payment Fee Change**:
   - Increase in Late Payment Fee from $10.00 to $15.00
8. **Effective Date**:
   - New Business: 03/10/2025
   - Renewal: 04/24/2025
9. **Supporting Documents** included in the filing:
   - Explanatory Memorandum
   - Summary of Manual Changes
10. **Discount Programs**:
   - Multiple Policy Discount
   - Responsible Payment Discount
11. **Other Information**:
   - Eligibility criteria for policyholders
   - Description of coverages and endorsements
   - Deductible regulations
   - Cancellation and endorsement policies

This filing aims to update rates and rules for condominium homeowners in Arizona",,
ALSE-134424632,Rule,02/19/2025,03/10/2025,04/24/2025,Closed-Acknowledged,"With this filing, Allstate is proposing changes to the Installment Fee and Late Payment Fee for the Allstate Property and
Casualty Insurance Company (APC) Homeowners – Owner Occupied Homeowners (HO) programs in the state of Arizona.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to new business written on or after 3/10/2025 and for renewals effective on or after 4/24/2025.
This filing company is closed to new business. Allstate has, however, supplied a new business effective date for special
business cases. For example, to accommodate a new business policy in the same company to a policyholder that has been
reinstated, or if a cancel/re-write is necessary.",,04.0 Homeowners,8,[17230],2025-02-24,"The filing from Allstate Property and Casualty Insurance Company in Arizona pertains to an increase in installment fees and late payment fees for their homeowner policies. The proposed changes include increasing the installment fees for different payment methods and raising the late payment fee from $10 to $15. The effective date for these changes is set to be for new business written on or after 3/10/2025 and for renewals effective on or after 4/24/2025.

The company has provided detailed justifications and supporting documents for the proposed fee changes, along with a comprehensive filing that outlines the adjustments in their homeowner insurance policy guidelines.

Additionally, the filing includes information on the company's contact details, project name/number, tracking numbers, and other relevant details pertaining to the rate/rule changes being submitted. It also outlines the procedures and requirements for filing changes in rates, rules, and establishing policy coverages, along with policy period regulations and cancellation procedures.",,
ALSE-134424807,Rule,02/19/2025,03/10/2025,04/24/2025,Closed-Acknowledged,"With this filing, Allstate is proposing changes to the Installment Fee and Late Payment Fee for the Allstate Indemnity Company
(AI) Homeowners -Renters (REN) programs in the state of Arizona.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to new business written on or after 3/10/2025 and for renewals effective on or after 4/24/2025.",,04.0 Homeowners,8,[19240],2025-02-24,"Based on the information provided from the Allstate Indemnity Company filing for renters insurance in Arizona, here is a summary of the rate filing:

1. **Policy Changes**:
   - Increase of Installment Fees for Allstate Easy Pay Plan from $1.50 to $2.00.
   - Increase of Installment Fees for all other payment methods (excluding Allstate Payroll Deductions) from $4.00 to $5.00.
   - Continuation of no Installment Fees for Allstate Payroll Deductions.
   - Increase of Late Payment Fee from $10.00 to $15.00.

2. **Explanatory Memorandum**:
   - Provided justification for the proposed changes in Installment Fees and Late Payment Fee.
   - Detailed exhibits showing support for the increase in fees.

3. **Summary of Manual Changes**:
   - Various rules and regulations within the Renters Manual were outlined, including eligibility criteria, mandatory coverages, additional coverages, deductibles, rating information, premium determination, endorsement policies, cancellation procedures, and more.

4. **Rating Group Classification**:
   - Assignment of Rating Groups based on insurance scores for policies, with certain eligibility factors determining the assigned Rating Group.

5. **Territorial Pages**:
   - Zoning information for different counties and regions in Arizona, specifying the zones for Graham, Greenlee, Pinal, Coconino, Gila, Yavapai, Mohave,",,
ALSE-134424886,Rule,02/19/2025,03/10/2025,04/24/2025,Closed-Acknowledged,"With this filing, Allstate is proposing changes to the Installment Fees and Late Payment Fee for the Allstate Insurance
Company (AIC) Homeowners – Mobilehome/Manufacture Home (MBH) program in the state of Arizona.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to new business written on or after 3/10/2025 and for renewals effective on or after 4/24/2025.
This filing company is closed to new business. Allstate has, however, supplied a new business effective date for special
business cases. For example, to accommodate a new business policy in the same company to a policyholder that has been
reinstated, or if a cancel/re-write is necessary.",,04.0 Homeowners,8,[19232],2025-02-24,"Summary of Rate Filing:

- Company Name: Allstate Insurance Company
- Product Name: AIC MBH
- State: Arizona
- Type of Insurance: Homeowners/Mobile Homeowners
- Filing Type: Rule
- Effective Date Requested (New): 03/10/2025
- Effective Date Requested (Renewal): 04/24/2025
- Project Name/Number: Increase Installment Fees and Late Payment Fee/RITM06444239
- Filing Status: Closed-Acknowledged
- Filing Company Contact: Lizett Mendez
- Contact Email: lmenh@allstate.com
- Contact Phone: 847-402-8414
- Filing Description: Allstate is proposing changes to the Installment Fees and Late Payment Fee for their AIC MBH program in Arizona. The changes include an increase in installment fees and late payment fee, effective for new business written on or after 03/10/2025 and for renewals effective on or after 04/24/2025. Additionally, the filing company is closed to new business but has allowed for special business cases with a new business effective date.",,
ALSE-134424967,Rule,02/19/2025,03/10/2025,04/24/2025,Closed-Acknowledged,"With this filing, Allstate is proposing changes to the Installment Fees and Late Payment Fee for the Allstate Indemnity
Company (AI) Homeowners-Manufactured Home (MFH) program in the state of Arizona.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to new business written on or after 3/10/2025 and for renewals effective on or after 4/24/2025.",,04.0 Homeowners,8,[19240],2025-02-24,"Based on the information provided in the filing, Allstate Indemnity Company is proposing changes to the Installment Fees and Late Payment Fee for the Allstate Easy Pay Plan in Arizona. The changes include increasing the Installment Fee for various payment methods, except for Allstate Payroll Deductions, as well as increasing the Late Payment Fee.

Some key points from the filing include:

1. The proposed changes are outlined in the Explanatory Memorandum, which details the adjustments in Installment Fees and Late Payment Fee.
2. Justifications for the rate changes are provided, including operational costs and bad debt expenses associated with late payments.
3. The Manual changes reflect updated rules regarding the Late Payment Fee, specifying the revised amount and conditions for the policy.
4. The Filing Contact and Company Information is provided, including contact details for Lizett Mendez, the State Filings Analyst, and the address and phone number for Allstate Indemnity Company.
5. The SERFF tracking information, disposition dates, and acknowledgment statuses are also included for reference.

It appears that Allstate Indemnity Company has followed the necessary procedures and documentation requirements for proposing these changes to the Installment Fees and Late Payment Fee for their Homeowners-Manufactured Home program in the state of Arizona. The filing includes detailed explanations, supporting documents, and compliance with state regulations related to rate and rule filings.",,
