SERFF#,State,Group_Code,Company_Code,Company_Code_all,Objection_letter_date,Objectionletter#,Objection#,Objection,download_week
AR_LBPM-134402349,AR,111,19690,[19690],02/12/2025,Objection_letter1,objection1,This will acknowledge receipt of the captioned filing.      Objection 1           Comments: Please provide additional details/explanation and support for these changes.,2025-02-24
AR_LBPM-134415366,AR,111,42404,"[42404, 23035, 33600]",02/13/2025,Objection_letter1,objection1,"This will acknowledge receipt of the captioned filing.      Objection 1           - HOMEPROTECTOR PLUS ENDORSEMENT, FMHO 2023 , 01 25 (Form)           - OPTIONAL LOSS SETTLEMENT ENDORSEMENT, FMHO 547 , 01 25 (Form)           - EXCESS DWELLING COVERAGE ENDORSEMENT, FMHO 2030 , 01 25 (Form)           - EXPANDED REPLACEMENT COST ENDORSEMENT, FMHO 1182AR , 01 25 (Form)           Comments: It is the Departments position regarding claims settlement practices of undamaged siding/roof covering within the ""line of sight"" on the damaged building roof or siding should be replaced, complying with accepted fair claims settlement practices. Please explain how these endorsements comply.",2025-02-24
AR_SFMA-134403457,AR,176,25143,[25143],02/10/2025,Objection_letter1,objection1,"This will acknowledge receipt of the captioned filing.      Objection 1           - Manual Pages , See Attached (Rate)           Comments: Please explain how the wind/hail deductible factors apply in relation to previously filed manual pages 109 and 110. See SFMA-134188842. Provide a detailed rating example.",2025-02-24
AZ_ALSE-134423427,AZ,8,19232,[19232],No objections,No objections,No objections,No objections,2025-02-24
AZ_ALSE-134423455,AZ,8,19240,[19240],No objections,No objections,No objections,No objections,2025-02-24
AZ_ALSE-134423481,AZ,8,37907,[37907],No objections,No objections,No objections,No objections,2025-02-24
AZ_ALSE-134424632,AZ,8,17230,[17230],No objections,No objections,No objections,No objections,2025-02-24
AZ_ALSE-134424807,AZ,8,19240,[19240],No objections,No objections,No objections,No objections,2025-02-24
AZ_ALSE-134424886,AZ,8,19232,[19232],No objections,No objections,No objections,No objections,2025-02-24
AZ_ALSE-134424967,AZ,8,19240,[19240],No objections,No objections,No objections,No objections,2025-02-24
