SERFF Tr Num,Filing Type,Date Submitted,Effective Date Requested (New),Effective Date Requested (Renewal),SERFF Status,Filing Description,Filing Method,TOI,Group_Code,Company_Codes,week_date,gpt_3_5_summary,o1_mini_summary,xai_summary
ALSE-134341177,Rate,12/05/2024,01/27/2025,03/13/2025,Closed-Authorized,"With this filing, Allstate is proposing an overall 4.1% rate level change to the Allstate Insurance Company (AIC) Homeowners -
Condominium (CON) program in the state of Alaska.
The overall rate level change has been achieved through revision of Coverage A (Building Property Protection) Increased
Limits premium per $1,000 of increased limit. Further information regarding these changes can be found in the enclosed
attachments.
This change will apply to new business written on or after January 27, 2025 and for renewals effective on or after March 13,
2025.",,04.0 Homeowners,8,[19232],2025-02-10,,,
SFMA-134391751,Rate/Rule,01/28/2025,03/15/2025,05/01/2025,Closed-Acknowledged,"We are filing revised rates to our independent Arizona Non-Tenant Homeowners policy form, which results in a rate level
change of 1.1%.  The details of and support for the change are outlined in the attached Filing Memorandum and supporting
exhibits.
The rate level changes contained in this filing specifically consider the expected effect that any prior changes in policy
language will have on our future underwriting experience.   The changes detailed in this filing reflect our best efforts to
recognize our actuarially suggested income needs and have premiums that are as competitive as possible.
We do not rely solely on rate activity to achieve our objective of continued financial solidity.  We also concentrate on continued
improvements in the way we service the business we write.  These improvements range from internal expense controls to
ongoing enhancements in the loss settlement process.  We also invest and participate in many loss prevention and control
activities.  Attached is an exhibit that outlines some of these activities.
We submit this filing to be effective March 15, 2025 for new business and May 1, 2025 for renewals.
Sincerely,
Adam Swope,   F.C.A.S, CPCU, MAAA
309-766-2471
adam.swope.hdbi@statefarm.com
Mike Hebenstreit,   F.C.A.S, MAAA
309-766-1102
mike.hebenstreit.g3dv@statefarm.com",,04.0 Homeowners,176,[25143],2025-02-10,,,
ALSE-133973140,Rate/Rule,01/31/2024,04/01/2025,04/01/2025,Closed-Approved,"With this filing, Allstate is proposing an overall 30.0% rate level change to the Allstate Insurance Company (AIC) Homeowners
- Condominium (CON) program in the state of California.
The overall rate level change has been achieved through revision of the Base Rates and Coverage A – Building Property
Protection.
In addition, eligibility language in Rule 17 - Multiple Policy Discount and Rule 25 – Claim Rating has been updated, which is
not rate impacting.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to all business on a date to be determined upon approval.",,04.0 Homeowners,8,[19232],2025-02-10,,,
ALSE-134371730,Rate,01/08/2025,04/17/2025,04/17/2025,Closed-Recorded Effective as Amended,"With this filing, Allstate is proposing an overall 4.1% rate level change to the Allstate Insurance Company (AIC) Homeowners -
Condominium (CON) program in the state of Connecticut.
The overall rate level change has been achieved through revision of the Rate Adjustment Factor and Coverage A (Building
Property Protection) Increased Limits premium per $1,000 of increased limit. Further information regarding these changes can
be found in the enclosed attachments.
This change will apply to all business effective on or after 4/17/2025.",,04.0 Homeowners,8,[19232],2025-02-10,,,
ALSE-134355105,Rate,12/17/2024,01/20/2025,03/06/2025,Closed-FILED,"With this filing, Allstate is proposing an overall 15% rate level change to the Allstate Vehicle and Property Insurance Company
(AVPIC) Homeowners - Owner Occupied Homeowners (HO) program in the state of Idaho.
Allstate is proposing revisions to the following rating plans: Base Fixed Expense Premium, Additive Fixed Expense Amount,
Water Backup Endorsement, Deductible Segmentation. The overall rate level change has been achieved through revision of
the Rate Adjustment Factors. Further information regarding these changes can be found in the enclosed attachments.
The SERFF tracking number of the original GLM filing for this rating plan is ALSE-128320975.
Implementation Date - SERFF Filing Number - Brief Description
01/22/2024  - ALSE-133920243 - Revised Rate Adjustment Factors, Base Fixed Expense Premium, and Additive Fixed
Expense Amount.
12/19/2022 - ALSE-133466941 - Revised Rate Adjustment Factors, Townclass factors, Dwelling Characteristics, House
Attributes, Policy Group, Claim Free Discount, Base Fixed Expense Premium, Additive Fixed Expense Amount, Water Backup
Endorsement, Zone Definitions and Premium Component Location Zone Relativities.
This change will apply to new business written on or after 1/20/2025 and for renewals effective on or after 3/6/2025.
Allstate is a member of ISO and is not adopting the Advisor Organization’s rates, rules, or forms.",,04.0 Homeowners,8,[37907],2025-02-10,,,
LBPM-134398598,Rate,01/31/2025,02/20/2025,05/13/2025,Closed-Acknowledged,"In accordance with Kentucky’s filing provision, American Economy Insurance Company (*AEIC) is respectfully requesting to
revise our Safeco homeowners’ product effective February 20, 2025, for new business and May 13, 2025 for in-force business.
We are proposing a rate neutral 0.0% change for our dwelling program.
Summary of Changes
Multi-Policy Discount
Peril Offset
Base rate change
Rate Effects
Home: 0.0%
We appreciate your review of this filing. Please feel free to contact us with any questions or concerns.",,04.0 Homeowners,111,[19690],2025-02-10,"The rate filing submitted by American Economy Insurance Company for their homeowners product in Kentucky includes the following key details:

- Requested effective dates: February 20, 2025 for new business and May 13, 2025 for in-force business.
- Proposed a rate neutral 0.0% change for their dwelling program.
- Summary of Changes:
  - Multi-Policy Discount
  - Peril Offset
  - Base rate change
- Company Contact: Matthew Rowland, State Filings Specialist
- Company Information: American Economy Insurance Company, a subsidiary of Liberty Mutual Group
- Filing Type: Rate
- Filing Method: File and Use with a neutral overall percentage rate change of -5.000% from the last revision on 01/09/2025.
- Filing Fees: $35.00 paid for the rate filing.
- Disposition: Acknowledged, with no overall indicated change in rates and a total of 26,066 policyholders affected.
- Rate information shows detailed changes in base rates, multi-policy discounts, and peril offset by zone in Kentucky.
- Supporting documents include actuarial memorandum, histogram of impacts, and additional rate/rule attachments.
- Distribution of impacts indicates the percentage and count of policies affected by various rate changes.",,
TRVD-G134354905,Rate/Rule,12/20/2024,02/16/2025,05/09/2025,Closed-Acknowledged,"With this change, we are making revisions to our Quantum Home 2.0 product as detailed in the attached Explanatory
Memorandum.
Please reference SERFF tracking #TRVD-G134354974 for the confidential portion of this change.",,04.0 Homeowners,3548,[38130],2025-02-10,,,
TRVD-G134354974,Rate/Rule,12/20/2024,02/16/2025,05/09/2025,Closed-Acknowledged,"With this change, we are making revisions to our Quantum Home 2.0 product as detailed in the attached Explanatory
Memorandum.
Please reference SERFF tracking #TRVD-G134354905 for the public portion of this change.",,04.0 Homeowners,3548,[38130],2025-02-10,"The rate filing submitted by Travelers Personal Insurance Company for their Quantum Home 2.0 homeowners insurance product in Kentucky requested an overall rate change of 11.6%. This filing included revisions to the Quantum Home 2.0 model, updating factors such as Roof Square Footage, Tree Overhang, Insurance Score, Auto Bodily Injury Limit, and Travelers Auto Policy. The Company introduced two new variables, Roof Condition Score and Presence of Zinc Staining. The filing was supported by a detailed review of model assumptions, data sources, variable selection, and model validation.

Travelers utilized data from third-party vendors such as LexisNexis, Precisely, ISO, Axcion, EASI, NOAA, TransUnion, Equifax, and Nearmap for modeling and validation purposes. Nearmap's Convolutional Neural Network (CNN) model was used for semantic segmentation to identify roof discoloration, tree overhang, and other structural features from aerial imagery. The model demonstrated validation accuracy exceeding 80% for most classifications and specificity greater than 85%.

The Company provided explanations on variable selection and model validation processes, emphasizing the statistical justification for included variables and the reliability of the model's predictions. Lift charts for different perils and out-of-sample performance metrics were also detailed to support the filing's predictive capabilities.

Ultimately, the actuarial approval recommended the approval of the filing after reviewing the methodology, assumptions, and validation results provided by Travelers.",,
TRVD-134135642,Rate/Rule,06/07/2024,02/16/2025,04/07/2025,Closed-Placed on File,"With this filing, we will be updating factors for numerous tables. These updates will provide for more accurate segmentation
through adjustments to factors based on more recent experience. Additionally, we are introducing
Roof Score. We are revising Base Rates to offset the impact of these changes and revising our Rate Adjustment Factors by
peril.
The count of Barnstable county exposures to which this insurance applies is 1,004.
The count of Dukes and Nantucket counties exposure to which this insurance applies is 0.
Confirming for the Divisions records that the proposed changes within this filing do not affect any static verbiage/content on:
-Application
-Declarations Page
Also confirming verbiage is not affected on any applicable endorsement forms with these proposed changes.
Our internal drop dead date for this filing is 01/17/2025.",,04.0 Homeowners,3548,"[19062, 27998, 28188, 38130, 36145]",2025-02-10,,,
AMSI-134128669,Rate,06/04/2024,06/05/2024,08/05/2024,Closed-Received Under Competitive Rating,"American Strategic Insurance Corp. (ASIC) respectfully submits for your review, under the file and use provision, a revision to
our Homeowners program. Please refer to Explanatory Memorandum and attached exhibit for further details.
If you have any questions or comments, please do not hesitate to contact me at (425)444-4700 or via email at
james_s_bennett@progressive.com.
Sincerely,
James Bennett
Product Manager, State of Maryland",,04.0 Homeowners,155,[10872],2025-02-10,,,
