SERFF#,State,Filing Type,TOI,Sub-TOI,Group_Code,Company_Code,Company_Code_all,Objection_letter_date,Objectionletter#,Objection#,Objection,download_week
CA_LBRM-134354159,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24724,[24724],12/26/2024,Objection_letter6,objection3,"Non-renewal Notice Please update your notice to comply with following codes: CIC §678(a)(1)(B)(iv) requires the NRN to include the Department’s Consumer Services Division contact information. CIC § 678(e) requires the NRN to be accompanied by a notice that provides CDI’s California Homeowners Insurance Finder, online tool, information and FAIR Plan information. CIC §10095.7(b) – requires the insurer provide to applicant, or a policyholder whose policy is cancelled or nonrenewed, information regarding the department’s California Homeowners Insurance Finder. CIC §10095(h) – requires the insurer to provide applicant, or a policyholder whose policy is cancelled or nonrenewed, the internet website address and statewide toll-free number of the FAIR Plan. CIC §678(c)(1) requires the nonrenewal notice be delivered or mailed at least 75 days before the policy expiration. ok",2025-03-10
CA_LBRM-134354159,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24724,[24724],12/26/2024,Objection_letter6,objection4,"Zipcode List Please provide non-renewal list based on zipcode and confirm that you will comply with following code CIC §675.1(b)(1) prohibits the insurer from cancelling or nonrenewing residential property insurance on a property located in any ZIP Code within or adjacent to the fire perimeter, for one year after the declaration of state of emergency.",2025-03-10
CA_LBRM-134354250,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24732,[24732],02/18/2025,Objection_letter1,objection1,"Please advise the reason why you cannot renew FNIC accounts to affiliated companies' HO3 program. Particularly HO3 under Safeco Insurance Company of America, and NHC under GICA.",2025-03-10
CA_LBRM-134354250,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24732,[24732],01/31/2025,Objection_letter2,objection1,Please include link to the home insurance finder tool on CDI website.,2025-03-10
CA_LBRM-134354250,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24732,[24732],01/31/2025,Objection_letter2,objection2,The non-renewal is the result of them no longer offering the product.  Why confuse the consumer stating it is a result of an underwriting review?  Please justify or remove it.,2025-03-10
CA_LBRM-134354250,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24732,[24732],01/28/2025,Objection_letter3,objection1,"Our records indicate that the deemer date for this filing is February 25, 2025. In order for us to complete our review, we request a waiver of the deemer. We ask that GENERAL INSURANCE COMPANY OF AMERICA submits a SERFF note with the wording below to waive the deemer provisions: Regarding the above-referenced rate application, GENERAL INSURANCE COMPANY OF AMERICA (""applicant"") hereby waives all deemer provisions etc. If the applicant wishes to reactivate the deemer provisions, the applicant will submit a request to reactivate in writing to CDI via SERFF. The deemer provisions will reactivate five days after the Department receives the written request to reactivate. After reactivation, the parties will have 15 days before the 60-day deemer runs and 125 days before the 180-day deemer runs.",2025-03-10
CA_LBRM-134354250,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24732,[24732],01/24/2025,Objection_letter4,objection1,"The Department has received notification of General Insurance Company of America's intent to withdraw Essential Homeowner (H3) Program, effective 01/01/2026; Attached is our letter explaining the regulatory impact of withdrawing an approved Program, including the requirement to abide by the following terms: - After 01/01/2026 General Insurance Company of America will not renew any policies from the withdrawn Essential Homeowner (H3) Program into any similar programs offered by the same insurer group in California. - General Insurance Company of America will not file a replacement program for at least three years after the effective date of the withdrawal of the Essential Homeowner (H3) Program. Please respond to affirmatively agree that the Company will abide by the terms stated above.",2025-03-10
CA_LBRM-134354250,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24732,[24732],01/13/2025,Objection_letter5,objection1,"Please revise your NRN to Justify the reason for non-renewal. The non-renewal is the result of them no longer offering the product. Why confuse the consumer stating it is a result of an underwriting review? “We are simply focusing our investments on core go-forward products …” This is a bit confusing, does the average insured understand what “core go-forward product” means? Clarify or eliminate the confusing language.",2025-03-10
CA_LBRM-134354250,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24732,[24732],12/26/2024,Objection_letter6,objection1,"Filing Description You refer SERFF #LBRM-134134101 as the corresponding rate filing. However, the rate filing is from GICA and for Essential program. Please correct your description.",2025-03-10
CA_LBRM-134354250,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24732,[24732],12/26/2024,Objection_letter6,objection2,Non-renewal Data Please submit your non-renewal data in excel format and ensure it matches the data submitted under corresponding rate filing.,2025-03-10
CA_LBRM-134354250,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24732,[24732],12/26/2024,Objection_letter6,objection3,"Non-renewal Notice Please update your notice to comply with following codes: CIC §678(a)(1)(B)(iv) requires the NRN to include the Department’s Consumer Services Division contact information. CIC § 678(e) requires the NRN to be accompanied by a notice that provides CDI’s California Homeowners Insurance Finder, online tool, information and FAIR Plan information. CIC §10095.7(b) – requires the insurer provide to applicant, or a policyholder whose policy is cancelled or nonrenewed, information regarding the department’s California Homeowners Insurance Finder. CIC §10095(h) – requires the insurer to provide applicant, or a policyholder whose policy is cancelled or nonrenewed, the internet website address and statewide toll-free number of the FAIR Plan. CIC §678(c)(1) requires the nonrenewal notice be delivered or mailed at least 75 days before the policy expiration. ok",2025-03-10
CA_LBRM-134354250,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24732,[24732],12/26/2024,Objection_letter6,objection4,"Zipcode List Please provide non-renewal list based on zipcode and confirm that you will comply with following code CIC §675.1(b)(1) prohibits the insurer from cancelling or nonrenewing residential property insurance on a property located in any ZIP Code within or adjacent to the fire perimeter, for one year after the declaration of state of emergency.",2025-03-10
CA_LBRM-134354250,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24732,[24732],12/18/2024,Objection_letter7,objection1,"Program Name on Page 1 should show   "" Name of Program"" – Withdraw Program. Please revise and resubmit the Application",2025-03-10
CO_GMMX-134450913,CO,Form,04.0 Homeowners,04.0005 Other Homeowners,8,10358,[10358],No objections,No objections,No objections,No objections,2025-03-10
CO_LBPM-134412448,CO,Rate,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,19690,"[19690, 24740]",No objections,No objections,No objections,No objections,2025-03-10
District_TRVD-G134382426,District,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,3548,19070,"[19070, 19062, 25666]",03/06/2025,Objection_letter1,objection1,"Thank you for responding to clear the objection. Please enter the Previous Filing # in the Action Specific Data section of the Form Schedule tab for forms that were filed after the implementation of SERFF. Also, if there is rating impact due to these changes you’ve made to the policy, please submit a separate rate filing. While we can approve a replaced filing with just the replaced form # listed, it is not as clear-cut for all filings. If the form is associated with one SERFF filing number, I can easily move forward with the filing. However, if the form is associated with multiple SERFF tracking numbers, I will need to first confirm which filing the replacement should apply to. For instance, form # HA-300 DC is associated with the following SERFF tracking numbers: TRVA-125894502 TRVA-128669478 TRVA-128306682 TRVD-133301192 TRVD-131828456 Does this replacement form apply to all of these SERFF tracking numbers? For the rest of the forms, I will need to trace each form number back to its associated SERFF tracking number. If the form is associated with more than one SERFF tracking number, I will need to confirm with you which SERFF tracking number the replacement request applies to. Including the previous SERFF tracking number eliminates these steps so that I can quickly review the filing and submit a disposition. Thank you.",2025-03-10
District_TRVD-G134382426,District,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,3548,19070,"[19070, 19062, 25666]",02/28/2025,Objection_letter2,objection1,"Thanks for your filing submission. For replaced forms, please provide redline versions noting changes to the forms.",2025-03-10
District_TRVD-G134382657,District,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,3548,38130,[38130],03/06/2025,Objection_letter1,objection1,"Thank you for responding to clear the objection. Please enter the Previous Filing # in the Action Specific Data section of the Form Schedule tab for forms that were filed after the implementation of SERFF. Also, if there is rating impact due to these changes you’ve made to the policy, please submit a separate rate filing. While we can approve a replaced filing with just the replaced form # listed, it is not as clear-cut for all filings. If the form is associated with one SERFF filing number, I can easily move forward with the filing. However, if the form is associated with multiple SERFF tracking numbers, I will need to first confirm which filing the replacement should apply to. For instance, form # HQ-300 DC is associated with the following SERFF tracking numbers: TRVD-131668315 (this is Closed-WITHDRAWL) TRVD-133292128 TRVD-131775780 Does this replacement form apply to all of these SERFF tracking numbers? For the rest of the forms, I will need to trace each form number back to its associated SERFF tracking number. If the form is associated with more than one SERFF tracking number, I will need to confirm with you which SERFF tracking number the replacement request applies to. Including the previous SERFF tracking number eliminates these steps so that I can quickly review the filing and submit a disposition. Thank you.",2025-03-10
District_TRVD-G134382657,District,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,3548,38130,[38130],02/28/2025,Objection_letter2,objection1,"Thanks for your filing submission. For replaced forms, please provide redline versions noting changes to the forms.",2025-03-10
District_TRVD-G134382695,District,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,3548,27998,"[27998, 36145]",02/28/2025,Objection_letter1,objection1,"Thanks for your filing submission. For replaced forms, please provide redline versions noting changes to the forms.",2025-03-10
GA_ALSE-134337450,GA,Rate/Rule other than PPA,04.0 Homeowners,04.0003 Owner Occupied Homeowners,8,37907,[37907],01/06/2025,Objection_letter1,objection1,"Please respond to the following: Please amend the effective date to 03/01/2025 OCGA 33-32-11 (a) Not later than March 1, 2025, insurers shall provide a premium discount or insurance rate reduction for new or retrofitted residential insurable property in an amount and manner as established in subsection (e) of this Code section and in accordance with Code Section 33-32-10. In addition, insurers may offer additional adjustments in deductible or other credit rate differentials or a combination thereof. Such adjustments shall be available under the terms specified in this Code section to any owner who builds or locates a new residential insurable property or who retrofits an existing residential insurable property to resist loss due to tornado, hurricane, or other catastrophic windstorm events.",2025-03-10
GA_HART-134414600,GA,Rate/Rule other than PPA,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,91,29424,"[29424, 37478, 38261, 34690, 27120, 39608]",No objections,No objections,No objections,No objections,2025-03-10
GA_LBPM-134447081,GA,Rate/Rule other than PPA,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,36447,"[36447, 33600]",No objections,No objections,No objections,No objections,2025-03-10
GA_LBPM-134447335,GA,Rate/Rule other than PPA,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,23043,"[23043, 12484]",No objections,No objections,No objections,No objections,2025-03-10
GA_LBPM-134449473,GA,Rate/Rule other than PPA,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,33588,[33588],No objections,No objections,No objections,No objections,2025-03-10
GA_SFMA-134413084,GA,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,176,25143,[25143],No objections,No objections,No objections,No objections,2025-03-10
GA_TRVD-G134360540,GA,Rate/Rule other than PPA,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,3548,38130,[38130],02/27/2025,Objection_letter1,objection1,"Please respond to the following: HB279 was signed into law in April 2024 and became effective July 1, 2024. It states a company must provide the discount by 3/1/2025. Failure to prepare IT for implementation is not valid. The company needs to find a way to provide the discount by 3/1/25. Travelers is seemingly the only company with issues, likely why the company is under market conduct.",2025-03-10
GA_TRVD-G134360540,GA,Rate/Rule other than PPA,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,3548,38130,[38130],02/26/2025,Objection_letter2,objection1,"Please respond to the following: Per OCGA 33-32-11, the effective date for new and renewal discounts needs to be in effect by 3/1/25. Please amend.",2025-03-10
GA_TRVD-G134360540,GA,Rate/Rule other than PPA,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,3548,38130,[38130],02/26/2025,Objection_letter3,objection1,Please respond to the following: IBHS Bronze/Roof needs a minimum discount of 5%. You can either amend as requested or the filing will be disapproved.,2025-03-10
GA_TRVD-G134360540,GA,Rate/Rule other than PPA,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,3548,38130,[38130],02/19/2025,Objection_letter4,objection1,Please respond to the following: IBHS Bronze/Roof needs a minimum discount of 5%. Please amend.,2025-03-10
GA_TRVD-G134400530,GA,Rate/Rule other than PPA,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,3548,27998,"[27998, 36137, 19070, 19038, 25658, 36161, 25623, 19062, 25615, 25666, 28188, 25674]",02/27/2025,Objection_letter1,objection1,"Please respond to the following: This was filed on 2/3/25 to be effective 2/28/25 which does not allow 45 days, per OCGA, 33-9-21 (D) Any domestic, foreign, or alien insurer that is authorized to write insurance in this state must file with the Commissioner any rate, rating plan, rating system, or underwriting rule at least 45 days prior to any indicated effective date for all insurance other than personal private passenger motor vehicle insurance. No rate, rating plan, rating system, or underwriting rule required to be filed under this subsection will become effective, nor may any premium be collected by any insurer thereunder, unless the filing has been received by the Commissioner in his office not less than 45 days prior to its effective date. Per OCGA 33-32-11, the discount was to be provided by 3/1/25, so I am willing to close after the correct discount is applied. But I am just not understanding why Travelers is having such a hard time with this.",2025-03-10
GA_TRVD-G134400530,GA,Rate/Rule other than PPA,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,3548,27998,"[27998, 36137, 19070, 19038, 25658, 36161, 25623, 19062, 25615, 25666, 28188, 25674]",02/27/2025,Objection_letter2,objection1,Please respond to the following: IBHS Bronze/Roof needs a minimum discount of 5%. Please amend.,2025-03-10
ID_LBPM-134449496,ID,Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,23043,"[23043, 12484]",No objections,No objections,No objections,No objections,2025-03-10
IL_ALSE-134437284,IL,Form,04.0 Homeowners,04.0003 Owner Occupied Homeowners,8,11110,[11110],No objections,No objections,No objections,No objections,2025-03-10
IL_SFMA-134413708,IL,Form,04.0 Homeowners,04.0005 Other Homeowners,176,25143,[25143],No objections,No objections,No objections,No objections,2025-03-10
KS_GMMX-134433936,KS,Form,04.0 Homeowners,04.0003 Owner Occupied Homeowners,8,15130,[15130],No objections,No objections,No objections,No objections,2025-03-10
KS_SFMA-134449763,KS,Form,04.0 Homeowners,04.0002 Mobile Homeowners,176,25143,[25143],No objections,No objections,No objections,No objections,2025-03-10
KS_TRVD-G134448245,KS,Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,3548,19062,"[19062, 25623, 19070, 27998, 25658, 25666, 28188, 38130, 36161]",03/07/2025,Objection_letter1,objection1,"This will acknowledge your letter whereby you submitted the captioned filing.      Objection 1           Comments: It appears the same document, ""KS Legacy Home Rule 500 Section"" was attached twice for the Legacy loss assessment coverage and the Additional coverage assessment document. Please advise if both of these are correct, or update the attached rule documents.",2025-03-10
ME_TRVD-G134422686,ME,Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,3548,38130,[38130],No objections,No objections,No objections,No objections,2025-03-10
MI_ALSE-134422885,MI,Rate,04.0 Homeowners,04.0002 Mobile Homeowners,8,19240,[19240],No objections,No objections,No objections,No objections,2025-03-10
MI_ALSE-134443416,MI,Rate/Rule,04.0 Homeowners,04.0003 Owner Occupied Homeowners,8,11110,[11110],No objections,No objections,No objections,No objections,2025-03-10
MI_ALSE-134445641,MI,Rule,04.0 Homeowners,04.0003 Owner Occupied Homeowners,8,11110,[11110],No objections,No objections,No objections,No objections,2025-03-10
MI_AMSI-134336870,MI,Rate/Rule,04.0 Homeowners,04.0003 Owner Occupied Homeowners,155,10872,[10872],No objections,No objections,No objections,No objections,2025-03-10
MI_HART-134433875,MI,Rate,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,91,27120,[27120],No objections,No objections,No objections,No objections,2025-03-10
MI_HART-134433892,MI,Rate,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,91,30104,[30104],No objections,No objections,No objections,No objections,2025-03-10
MI_LBPM-134437577,MI,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,42404,"[42404, 23035, 23043, 33600, 12484]",No objections,No objections,No objections,No objections,2025-03-10
MI_TRVD-G134446450,MI,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,3548,25666,"[25666, 19062]",No objections,No objections,No objections,No objections,2025-03-10
MN_SFMA-134414598,MN,Rate/Rule,04.0 Homeowners,04.0002 Mobile Homeowners,176,25143,[25143],No objections,No objections,No objections,No objections,2025-03-10
MO_USAA-134449959,MO,Rule,04.0 Homeowners,04.0003 Owner Occupied Homeowners,200,21253,"[21253, 25941, 25968, 18600]",No objections,No objections,No objections,No objections,2025-03-10
NC_ALSE-134449660,NC,Deviations,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,8,19232,[19232],No objections,No objections,No objections,No objections,2025-03-10
NC_USAA-134418343,NC,Deviations,04.0 Homeowners,04.0003 Owner Occupied Homeowners,200,25941,[25941],No objections,No objections,No objections,No objections,2025-03-10
NC_USAA-134418345,NC,Deviations,04.0 Homeowners,04.0003 Owner Occupied Homeowners,200,25968,[25968],No objections,No objections,No objections,No objections,2025-03-10
NC_USAA-134418351,NC,Deviations,04.0 Homeowners,04.0003 Owner Occupied Homeowners,200,18600,[18600],No objections,No objections,No objections,No objections,2025-03-10
NC_USAA-134418355,NC,Deviations,04.0 Homeowners,04.0003 Owner Occupied Homeowners,200,21253,[21253],No objections,No objections,No objections,No objections,2025-03-10
ND_GMMX-134414147,ND,Form,04.0 Homeowners,04.0001 Condominium Homeowners,8,15130,[15130],No objections,No objections,No objections,No objections,2025-03-10
ND_GMMX-134414190,ND,Form,04.0 Homeowners,04.0003 Owner Occupied Homeowners,8,15130,[15130],No objections,No objections,No objections,No objections,2025-03-10
ND_GMMX-134414199,ND,Form,04.0 Homeowners,04.0004 Tenant Homeowners,8,15130,[15130],No objections,No objections,No objections,No objections,2025-03-10
NE_GMMX-134443628,NE,Rate,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,8,10358,[10358],No objections,No objections,No objections,No objections,2025-03-10
NJ_AMSI-134443262,NJ,Rule,04.0 Homeowners,04.0001 Condominium Homeowners,155,10872,[10872],No objections,No objections,No objections,No objections,2025-03-10
NJ_LBPM-134367579,NJ,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24740,[24740],02/19/2025,Objection_letter1,objection1,"For the review of the referenced filing we will require answers to the following questions/concerns.      Objection 1           - Explanatory Memorandum (Supporting Document)           Comments: Being that the revisions are being made to align with other policies, please explain why the following is not included in Your Duties to Maintain Policy Limits as found in the other policies:  ""These suggestions will be made effective on the renewal of your policy and will be based upon average factors for your area supplied to us by recognized appraisal agencies.""",2025-03-10
NJ_LBPM-134367579,NJ,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24740,[24740],02/19/2025,Objection_letter2,objection1,"For the review of the referenced filing we will require answers to the following questions/concerns.      Objection 1           - SPECIAL PROVISIONS - NEW JERSEY, CHO-6104NJEP, 3/25 (Form)           Comments: Your filing description states that ""In accordance with New Jersey's filing provision, we are submitting the following revisions to our property lines Renter/Condo programs."" Please confirm that the form being revised is for your Renters Program approved under Dept. File #20-0070.  That filing indicates that ""Condo forms will be filed at a later date.""",2025-03-10
NJ_LBPM-134367579,NJ,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24740,[24740],01/15/2025,Objection_letter3,objection1,"Objection 1           Comments: Please explain the reasons/intent behind the proposed revisions. Identify if the revisions are comparable to similar company forms, Bureau Forms (e.g. ISO), or any competitor forms. (Company forms developed using bureau form templates should include a mark-up of the bureau form illustrating the company- specific changes.)",2025-03-10
NJ_LBPM-134367579,NJ,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24740,[24740],01/15/2025,Objection_letter3,objection2,Objection 2           Comments: Please explain if you are aware of any competitors suggesting annual changes to policy limits which would then be effective on renewal with the insured's payment. How is the insured being notified in the renewal?,2025-03-10
NJ_LBPM-134367579,NJ,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24740,[24740],01/15/2025,Objection_letter3,objection3,"Objection 3           Comments: Please explain if you are aware of any other competitors using the ""economically repairable "" language for cash value.  If not, was the language developed by an outside party, developed in-house between product, underwriting, claims, legal, developed/required by a reinsurer, etc.? Please provide a definition of ""economically repairable.""",2025-03-10
NJ_LEMO-134389427,NJ,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,5032,16023,[16023],No objections,No objections,No objections,No objections,2025-03-10
NV_HART-134384733,NV,Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,91,37478,"[37478, 38261, 30104, 34690, 27120, 22357, 19682]",02/20/2025,Objection_letter1,objection1,Objection 1           -,2025-03-10
NV_HART-134384733,NV,Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,91,37478,"[37478, 38261, 30104, 34690, 27120, 22357, 19682]",02/20/2025,Objection_letter1,objection2,"Objection 2 Response (Supporting Document)           Comments: Thank you for providing the details of the surcharge. The Hartford companies will need to document this surcharge in the Rule Manual. This rule must include when the surcharge applies, its payment structure, and the vendor name. Since a consumer will be subject to this surcharge as a result of purchasing a policy and electing to pay some particular way, the surcharge needs to be documented in the filed Rule Manual and is subject to the Division's prior-approval authority.",2025-03-10
NV_HART-134384733,NV,Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,91,37478,"[37478, 38261, 30104, 34690, 27120, 22357, 19682]",02/06/2025,Objection_letter2,objection1,"Objection 1-1, if the company requires an update to the rate pages in addition to the rule pages, then this filing will need to be withdrawn and resubmitted as a Rate/Rule filing.",2025-03-10
NV_HART-134384733,NV,Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,91,37478,"[37478, 38261, 30104, 34690, 27120, 22357, 19682]",02/06/2025,Objection_letter2,objection2,Objection 2           -,2025-03-10
NV_HART-134384733,NV,Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,91,37478,"[37478, 38261, 30104, 34690, 27120, 22357, 19682]",02/06/2025,Objection_letter2,objection3,Objection 3           Comments: As stated in the previous,2025-03-10
