SERFF#,State,Group_Code,Company_Code,Company_Code_all,Objection_letter_date,Objectionletter#,Objection#,Objection,download_week
AL_ALSE-134300517,AL,8,11110,[11110],No objections,No objections,No objections,No objections,2025-03-03
AL_LBPM-134436753,AL,111,23043,"[23043, 18333]",No objections,No objections,No objections,No objections,2025-03-03
AR_TRVD-G134425501,AR,3548,19062,"[19062, 19070, 27998, 25666, 36137, 38130]",No objections,No objections,No objections,No objections,2025-03-03
AZ_TRVD-134038097,AZ,3548,27998,"[27998, 36137]",12/19/2024,Objection_letter1,objection1,"Objection 1           Comments: Elaborate on what, if any, statistical tests other than Lift Charts, Actual vs Expected charts, and Lorenz curves were used in model validation. [PC9999]",2025-03-03
AZ_TRVD-134038097,AZ,3548,27998,"[27998, 36137]",12/19/2024,Objection_letter1,objection2,Objection 2           Comments: A closed-form solution for the log-likelihood is not necessary (c.f. pages 140ff of Generalized Additive Models by Hastie and Tibshirani) for the calculation of model statistics. Provide a summary table of model output for each model with the following columns: - Variable Name - Variable Level (with the base level highlighted) - Beta coefficient - P-value - Lower Bound of 95% Confidence Interval - Upper Bound of 95% Confidence Interval [PC9999],2025-03-03
AZ_TRVD-134038097,AZ,3548,27998,"[27998, 36137]",12/19/2024,Objection_letter1,objection3,"Objection 3           Comments: A closed-form solution for the log-likelihood is not necessary (c.f. pages 140ff of Generalized Additive Models by Hastie and Tibshirani) for the calculation of model statistics. Provide commentary on why each variable with a p-value > .05 was kept in the model, if applicable. [PC9999]",2025-03-03
AZ_TRVD-134038097,AZ,3548,27998,"[27998, 36137]",12/19/2024,Objection_letter1,objection4,Objection 4           Comments: A closed-form solution for the log-likelihood is not necessary (c.f. pages 140ff of Generalized Additive Models by Hastie and Tibshirani) for the calculation of model statistics. Provide null deviance and residual deviance metrics.  [PC9999],2025-03-03
AZ_TRVD-134038097,AZ,3548,27998,"[27998, 36137]",12/19/2024,Objection_letter1,objection5,"Objection 5           Comments: A closed-form solution for the log-likelihood is not necessary (c.f. pages 140ff of Generalized Additive Models by Hastie and Tibshirani) for the calculation of model statistics. Provide FF nested model tests comparing the full model to subset models excluding one variable at a time to demonstrate the significance of each term. F-nested model tests include the F-statistic based on the removal of one variable and corresponding F-test critical values, which come from the F table. The numerator degrees of freedom should be equal to the number of added parameters in the larger model and the denominator degrees of freedom should be equal to the number of records in the dataset minus the number of parameters in the larger model. FF nested model tests are described in section 6.2.1 of Generalized Linear Models for Insurance Rating. (https://www.casact.org/sites/default/files/2021- 03/8_GLM.pdf). [PC9999] SERFF Tracking #: TRVD-134038097 State Tracking #: TRVD-134038097 -GLM Company Tracking #: 2024-03-0073 State: Arizona First Filing Company: The Travelers Home and Marine Insurance Company , ... TOI/Sub-TOI: 04.0 Homeowners/04.0000 Homeowners Sub-TOI Combinations Product Name: TIS 1.0 Project Name/Number: 63849/2024-03-0073 PDF Pipeline for SERFF Tracking Number TRVD-134038097 Generated 03/02/2025 11:57 PM",2025-03-03
AZ_TRVD-134038097,AZ,3548,27998,"[27998, 36137]",12/19/2024,Objection_letter1,objection6,Objection 6           Comments: A closed-form solution for the log-likelihood is not necessary (c.f. pages 140ff of Generalized Additive Models by Hastie and Tibshirani) for the calculation of model statistics. Provide a table showing AIC after the exclusion of each predictor variable from the full model. [PC9999],2025-03-03
AZ_TRVD-134038097,AZ,3548,27998,"[27998, 36137]",06/21/2024,Objection_letter2,objection1,"Objection 1           Comments: Explain the discrepancy in the following statements. The response should clarify whether this is a brand-new model and explain what the company means by this version. - The TIS1 model is not a re-fresh or re-build of a previously filed model - This version of TIS 1 is currently being used in Indiana, with SERFF tracking number 2021 - TRVD-132992312 [PC9999]",2025-03-03
